# ID	name	start	stop	frame	product	description	function	cogcats	status_region	status_function	type	region_number	function_number
XA26_00010	-	1	1518	1	chromosomal replication initiator protein DnaA	-	-	-	status 3	annotated	CDS	5	6
XA26_00020	-	2144	3337	2	DNA polymerase III subunit beta	-	-	-	status 3	annotated	CDS	5	6
XA26_00030	-	3363	4256	3	6-phosphogluconate dehydrogenase	-	-	-	status 3	annotated	CDS	5	6
XA26_00040	-	4265	5419	2	DNA replication/repair protein RecF	-	-	-	status 3	annotated	CDS	5	6
XA26_00050	-	5416	6009	1	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
XA26_00060	-	6228	8255	3	DNA gyrase subunit B	-	-	-	status 3	annotated	CDS	5	6
XA26_00080	-	8420	10924	2	DNA gyrase subunit A	-	-	-	status 3	annotated	CDS	5	6
XA26_00090	-	10977	11879	3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
XA26_00120	-	12428	13297	2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
XA26_00130	-	13303	14046	1	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
XA26_00140	-	14163	14675	3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
XA26_00150	-	15088	14690	-2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
XA26_00160	-	15243	15770	3	peptidyl-prolyl cis-trans isomerase	-	-	-	status 3	annotated	CDS	5	6
XA26_00170	-	16274	15858	-3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
XA26_00180	-	16714	16430	-2	cell division protein CrgA	-	-	-	status 3	annotated	CDS	5	6
XA26_00190	-	16809	17558	3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
XA26_00200	-	17589	18263	3	glutamine amidotransferase	-	-	-	status 3	annotated	CDS	5	6
XA26_00210	-	20112	18241	-1	serine/threonine protein kinase	-	-	-	status 3	annotated	CDS	5	6
XA26_00220	-	21380	20109	-3	serine/threonine protein kinase	-	-	-	status 3	annotated	CDS	5	6
XA26_00230	-	22920	21442	-1	penicillin-binding protein A	-	-	-	status 3	annotated	CDS	5	6
XA26_00240	-	24332	22917	-3	cell division protein FtsW	-	-	-	status 3	annotated	CDS	5	6
XA26_00250	-	25864	24329	-2	serine/threonine protein phosphatase	-	-	-	status 3	annotated	CDS	5	6
XA26_00260	-	26417	25950	-3	membrane protein	-	-	-	status 3	annotated	CDS	5	6
XA26_00270	-	28016	26550	-3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
