H37Rv gene	start	stop	type	Rv number	coding strand	associated antibiotic resistance	comment	length	region analyzed in reference collection
gyrB upstream	4998	5239	intergenic	-	forward	moxifloxacin, gatifloxacin, ofloxacin, levofloxacin, ciprofloxacin	-	242	yes
gyrB	5240	7267	CDS	Rv0005	forward	moxifloxacin, gatifloxacin, ofloxacin, levofloxacin, ciprofloxacin	-	2028	yes
gyrA upstream	7268	7301	intergenic	-	forward	moxifloxacin, gatifloxacin, ofloxacin, levofloxacin, ciprofloxacin	-	34	yes
gyrA	7302	9818	CDS	Rv0006	forward	moxifloxacin, gatifloxacin, ofloxacin, levofloxacin, ciprofloxacin	-	2517	yes
ponA1 upstream	53245	53662	intergenic	-	forward	rifampicin, rifabutin	-	418	no
ponA1	53663	55699	CDS	Rv0050	forward	rifampicin, rifabutin	-	2037	no
inbR	330933	331658	CDS	Rv0275c	reverse	isoniazid	-	726	no
inbR upstream	331659	331747	intergenic	-	reverse	isoniazid	-	89	no
fgd1 upstream	490706	490782	intergenic	-	forward	delamanid, PA-824	-	77	yes
fgd1	490783	491793	CDS	Rv0407	forward	delamanid, PA-824	-	1011	yes
mshA upstream	575301	575347	intergenic	-	forward	ethionamide, prothionamide	-	47	yes
mshA	575348	576790	CDS	Rv0486	forward	ethionamide, prothionamide	-	1443	yes
Rv0565c	656010	657470	CDS	Rv0565c	reverse	ethionamide, prothionamide	alternative activator Eto,Pto or compensation EthA deficit	1461	yes
Rv0565c upstream	657471	657548	intergenic	-	reverse	ethionamide, prothionamide	-	78	yes
hadA upstream	731880	731929	intergenic	-	forward	thioacetazone	-	50	no
hadA,hadB,hadC	731930	733325	CDS	Rv0635,Rv0636, Rv0637	forward	thioacetazone	-	1396	no
mmaA4	736298	737203	CDS	Rv0642c	reverse	thioacetazone	-	906	no
mmaA4 upstream	737204	737267	intergenic	-	reverse	thioacetazone	-	64	no
mmaA3	737268	738149	CDS	Rv0643c	reverse	isoniazid, ethionamide, prothionamide	-	882	no
mmaA3 upstream	738150	738296	intergenic	-	reverse	isoniazid, ethionamide, prothionamide	-	147	no
mmaA2	738297	739160	CDS	Rv0644c	reverse	thioacetazone	-	864	no
mmaA2 upstream	739161	739326	intergenic	-	reverse	thioacetazone	-	166	no
