# ID	name	start	stop	frame	product	description	function	cogcats	status_region	status_function	type	region_number	function_number
MYCO-DSM44623_00001	dnaA	34	1536	1	chromosomal replication initiation protein	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00002	dnaN	2072	3271	2	DNA polymerase III subunit beta	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00003	-	3272	4429	2	recombination protein F	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00004	-	4426	4989	1	putative RNA-binding protein containing Zn ribbon	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00005	gyrB	5247	7280	3	DNA gyrase subunit B	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00006	gyrA	7332	9848	3	DNA gyrase subunit A	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00007	-	9995	10870	2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00008	-	10952	11026	1	tRNA	-	-	-	status 3	annotated	tRNA	5	6
MYCO-DSM44623_00009	-	11174	11247	1	tRNA	-	-	-	status 3	annotated	tRNA	5	6
MYCO-DSM44623_00010	-	11521	11402	-2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00011	-	11721	11521	-1	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00012	-	12159	12626	3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00013	-	13663	12632	-2	Nucleotidyltransferase domain protein	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00014	-	14410	13787	-2	TetR family transcriptional regulator	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00015	-	14607	15821	3	cytochrome P450	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00016	-	16258	15824	-2	membrane protein	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00017	ppiA	16435	16965	1	PpiA	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00018	-	17413	16988	-2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00019	-	17850	17569	-1	septation inhibitor protein	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00020	-	17980	18723	1	membrane associated protein	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00021	-	18768	19454	3	para-aminobenzoate synthase component II	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00022	-	21312	19432	-1	serine/threonine protein kinase	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00023	-	22580	21309	-3	serine/threonine protein kinase	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00024	-	24055	22577	-2	PbpA protein	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00025	-	25461	24052	-1	cell cycle protein, FtsW/RodA/SpoVE family protein	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00026	-	26963	25458	-3	protein phosphatase	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00027	-	27495	27028	-1	FHA-domain-containing protein	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00028	-	29248	27620	-2	FHA domain-containing protein	-	-	-	status 3	annotated	CDS	5	6
MYCO-DSM44623_00029	-	29500	29583	1	tRNA	-	-	-	status 3	annotated	tRNA	5	6
