# ID	name	start	stop	frame	product	description	function	cogcats	status_region	status_function	type	region_number	function_number
RV1984a	-	2228676	2228906	3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0001	dnaA	1	1524	1	chromosomal replication initiator protein DnaA	-	-	-	status 3	annotated	CDS	5	6
Rv0002	dnaN	2052	3260	3	DNA polymerase III subunit beta	-	-	-	status 3	annotated	CDS	5	6
Rv0003	recF	3280	4437	1	DNA replication/repair protein RecF	-	-	-	status 3	annotated	CDS	5	6
Rv0004	-	4434	4997	3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0005	gyrB	5240	7267	2	DNA gyrase subunit B	-	-	-	status 3	annotated	CDS	5	6
Rv0006	gyrA	7302	9818	3	DNA gyrase subunit A	-	-	-	status 3	annotated	CDS	5	6
Rv0007	-	9914	10828	2	membrane protein	-	-	-	status 3	annotated	CDS	5	6
Rv0008c	-	12311	11874	-3	cell wall synthesis protein CwsA	-	-	-	status 3	annotated	CDS	5	6
Rv0009	ppiA	12468	13016	3	iron-regulated peptidyl-prolyl cis-trans isomerase PpiA	-	-	-	status 3	annotated	CDS	5	6
Rv0010c	-	13558	13133	-2	membrane protein	-	-	-	status 3	annotated	CDS	5	6
Rv0011c	-	13995	13714	-1	cell division protein CrgA	-	-	-	status 3	annotated	CDS	5	6
Rv0012	-	14089	14877	1	membrane protein	-	-	-	status 3	annotated	CDS	5	6
Rv0013	trpG	14914	15612	1	anthranilate synthase component II	-	-	-	status 3	annotated	CDS	5	6
Rv0014c	pknB	17470	15590	-2	serine/threonine-protein kinase PknB	-	-	-	status 3	annotated	CDS	5	6
Rv0015c	pknA	18762	17467	-1	serine/threonine-protein kinase PknA	-	-	-	status 3	annotated	CDS	5	6
Rv0016c	pbpA	20234	18759	-3	penicillin-binding protein PbpA	-	-	-	status 3	annotated	CDS	5	6
Rv0017c	rodA	21640	20231	-2	cell division protein RodA	-	-	-	status 3	annotated	CDS	5	6
Rv0018c	pstP	23181	21637	-1	phosphoserine/threonine phosphatase PstP	-	-	-	status 3	annotated	CDS	5	6
Rv0019c	fhaB	23737	23270	-2	FHA domain-containing protein FhaB	-	-	-	status 3	annotated	CDS	5	6
Rv0020c	fhaA	25444	23861	-2	FHA domain-containing protein FhaA	-	-	-	status 3	annotated	CDS	5	6
Rv0021c	-	26881	25913	-2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0022c	whiB5	27442	27023	-2	transcriptional regulator WhiB5	-	-	-	status 3	annotated	CDS	5	6
Rv0023	-	27595	28365	1	transcriptional regulator	-	-	-	status 3	annotated	CDS	5	6
Rv0024	-	28362	29207	3	NLP/P60 family protein	-	-	-	status 3	annotated	CDS	5	6
Rv0025	-	29245	29607	1	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0026	-	29722	31068	1	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0027	-	31189	31506	1	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0028	-	31514	31819	2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0029	-	32057	33154	2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0030	-	33224	33553	2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0032	bioF2	34295	36610	2	8-amino-7-oxononanoate synthase	-	-	-	status 3	annotated	CDS	5	6
Rv0033	acpA	36607	36870	1	acyl carrier protein AcpA	-	-	-	status 3	annotated	CDS	5	6
Rv0034	-	36867	37262	3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0035	fadD34	37259	38947	2	fatty-acid--CoA ligase FadD34	-	-	-	status 3	annotated	CDS	5	6
Rv0036c	-	39829	39056	-2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0037c	-	41202	39877	-1	MFS-type transporter	-	-	-	status 3	annotated	CDS	5	6
Rv0038	-	41304	41912	3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0039c	-	42351	42004	-1	transmembrane protein	-	-	-	status 3	annotated	CDS	5	6
Rv0040c	mtc28	43365	42433	-1	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0041	leuS	43562	46471	2	leucine--tRNA ligase	-	-	-	status 3	annotated	CDS	5	6
Rv0042c	-	47207	46581	-3	transcriptional regulator	-	-	-	status 3	annotated	CDS	5	6
Rv0043c	-	48100	47366	-2	HTH-type transcriptional regulator	-	-	-	status 3	annotated	CDS	5	6
Rv0044c	-	49027	48233	-2	oxidoreductase	-	-	-	status 3	annotated	CDS	5	6
Rv0045c	-	49939	49043	-2	hydrolase	-	-	-	status 3	annotated	CDS	5	6
Rv0046c	ino1	51124	50021	-2	inositol-3-phosphate synthase	-	-	-	status 3	annotated	CDS	5	6
Rv0047c	-	51727	51185	-2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0048c	-	52697	51828	-3	membrane protein	-	-	-	status 3	annotated	CDS	5	6
Rv0049	-	52831	53244	1	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0050	ponA1	53663	55699	2	bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase	-	-	-	status 3	annotated	CDS	5	6
Rv0051	-	55696	57378	1	transmembrane protein	-	-	-	status 3	annotated	CDS	5	6
Rv0052	-	57410	57973	2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0053	rpsF	58192	58482	1	30S ribosomal protein S6	-	-	-	status 3	annotated	CDS	5	6
Rv0054	ssb	58586	59080	2	single-strand DNA-binding protein	-	-	-	status 3	annotated	CDS	5	6
Rv0055	rpsR1	59122	59376	1	30S ribosomal protein S18	-	-	-	status 3	annotated	CDS	5	6
Rv0056	rplI	59409	59867	3	50S ribosomal protein L9	-	-	-	status 3	annotated	CDS	5	6
Rv0057	-	59896	60417	1	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0058	dnaB	60396	63020	3	replicative DNA helicase	-	-	-	status 3	annotated	CDS	5	6
Rv0059	-	63200	63892	2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0060	-	63909	64967	3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0061c	-	65350	65012	-2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0062	celA1	65552	66694	2	cellulase CelA	-	-	-	status 3	annotated	CDS	5	6
Rv0063	-	66923	68362	2	oxidoreductase	-	-	-	status 3	annotated	CDS	5	6
Rv0063a	-	68418	68579	3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0064	-	68620	71559	1	transmembrane protein	-	-	-	status 3	annotated	CDS	5	6
Rv0064A	vapB1	71589	71828	3	antitoxin VapB1	-	-	-	status 3	annotated	CDS	5	6
Rv0065	vapC1	71821	72222	1	ribonuclease VapC1	-	-	-	status 3	annotated	CDS	5	6
Rv0066c	icd2	74511	72274	-1	isocitrate dehydrogenase	-	-	-	status 3	annotated	CDS	5	6
Rv0067c	-	75198	74629	-1	transcriptional regulator	-	-	-	status 3	annotated	CDS	5	6
Rv0068	-	75301	76212	1	oxidoreductase	-	-	-	status 3	annotated	CDS	5	6
Rv0069c	sdaA	77622	76237	-1	L-serine dehydratase	-	-	-	status 3	annotated	CDS	5	6
Rv0070c	glyA2	78896	77619	-3	serine hydroxymethyltransferase	-	-	-	status 3	annotated	CDS	5	6
Rv0071	-	79486	80193	1	maturase	-	-	-	status 3	annotated	CDS	5	6
Rv0072	-	80624	81673	2	glutamine ABC transporter permease	-	-	-	status 3	annotated	CDS	5	6
Rv0073	-	81676	82668	1	glutamine ABC transporter ATP-binding protein	-	-	-	status 3	annotated	CDS	5	6
Rv0074	-	82748	83983	2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0075	-	83996	85168	2	aminotransferase	-	-	-	status 3	annotated	CDS	5	6
Rv0076c	-	85572	85183	-1	membrane protein	-	-	-	status 3	annotated	CDS	5	6
Rv0077c	-	86466	85636	-1	oxidoreductase	-	-	-	status 3	annotated	CDS	5	6
Rv0078	-	86528	87133	2	transcriptional regulator	-	-	-	status 3	annotated	CDS	5	6
Rv0078A	-	87801	87208	-1	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0078B	-	88004	87798	-3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0079	-	88204	89025	1	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0080	-	89022	89480	3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0081	-	89575	89919	1	HTH-type transcriptional regulator	-	-	-	status 3	annotated	CDS	5	6
Rv0082	-	89924	90403	2	oxidoreductase	-	-	-	status 3	annotated	CDS	5	6
Rv0083	-	90400	92322	1	oxidoreductase	-	-	-	status 3	annotated	CDS	5	6
Rv0084	hycD	92328	93278	3	formate hydrogenlyase HycD	-	-	-	status 3	annotated	CDS	5	6
Rv0085	hycP	93289	93951	1	hydrogenase HycP	-	-	-	status 3	annotated	CDS	5	6
Rv0086	hycQ	93951	95417	3	hydrogenase HycQ	-	-	-	status 3	annotated	CDS	5	6
Rv0087	hycE	95414	96892	2	formate hydrogenase HycE	-	-	-	status 3	annotated	CDS	5	6
Rv0088	-	96927	97601	3	polyketide cyclase/dehydrase	-	-	-	status 3	annotated	CDS	5	6
Rv0089	-	97758	98351	3	methyltransferase	-	-	-	status 3	annotated	CDS	5	6
Rv0090	-	98480	99250	2	membrane protein	-	-	-	status 3	annotated	CDS	5	6
Rv0091	mtn	99684	100451	3	bifunctional 5'-methylthioadenosine nucleosidase /S-adenosylhomocysteine nucleosidase	-	-	-	status 3	annotated	CDS	5	6
Rv0092	ctpA	100583	102868	2	cation transporter ATPase A	-	-	-	status 3	annotated	CDS	5	6
Rv0093c	-	103663	102815	-2	membrane protein	-	-	-	status 3	annotated	CDS	5	6
Rv0094c	-	104663	103710	-3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0095c	-	105215	104805	-3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0096	PPE1	105324	106715	3	PPE family protein PPE1	-	-	-	status 3	annotated	CDS	5	6
Rv0097	-	106734	107603	3	oxidoreductase	-	-	-	status 3	annotated	CDS	5	6
Rv0098	fcoT	107600	108151	2	fatty acyl CoA thioesterase FcoT	-	-	-	status 3	annotated	CDS	5	6
Rv0099	fadD10	108156	109778	3	fatty-acid--CoA ligase FadD10	-	-	-	status 3	annotated	CDS	5	6
Rv0100	-	109783	110019	1	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0101	nrp	110001	117539	3	peptide synthetase Nrp	-	-	-	status 3	annotated	CDS	5	6
Rv0102	-	117714	119699	3	integral membrane protein	-	-	-	status 3	annotated	CDS	5	6
Rv0103c	ctpB	122173	119915	-2	cation-transporter P-type ATPase B	-	-	-	status 3	annotated	CDS	5	6
Rv0104	-	122317	123831	1	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0105c	rpmB1	124264	123980	-2	50S ribosomal protein L28	-	-	-	status 3	annotated	CDS	5	6
Rv0106	-	124374	125570	3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0107c	ctpI	130541	125643	-3	cation-transporter ATPase I	-	-	-	status 3	annotated	CDS	5	6
Rv0108c	-	131104	130895	-2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0109	PE_PGRS1	131382	132872	3	PE-PGRS family protein PE_PGRS1	-	-	-	status 3	annotated	CDS	5	6
Rv0110	-	133020	133769	3	integral membrane protein	-	-	-	status 3	annotated	CDS	5	6
Rv0111	-	133950	136007	3	transmembrane acyltransferase	-	-	-	status 3	annotated	CDS	5	6
Rv0112	gca	136289	137245	2	GDP-mannose 4,6-dehydratase	-	-	-	status 3	annotated	CDS	5	6
Rv0113	gmhA	137319	137909	3	phosphoheptose isomerase	-	-	-	status 3	annotated	CDS	5	6
Rv0114	gmhB	137941	138513	1	D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase	-	-	-	status 3	annotated	CDS	5	6
Rv0115	hddA	138513	139673	3	D-alpha-D-heptose-7-phosphate kinase HddA	-	-	-	status 3	annotated	CDS	5	6
Rv0115a	-	139956	140144	3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0116c	ldtA	141022	140267	-2	L,D-transpeptidase LdtA	-	-	-	status 3	annotated	CDS	5	6
Rv0117	oxyS	141200	142144	2	oxidative stress response regulatory protein OxyS	-	-	-	status 3	annotated	CDS	5	6
Rv0118c	oxcA	143876	142128	-3	oxalyl-CoA decarboxylase OxcA	-	-	-	status 3	annotated	CDS	5	6
Rv0119	fadD7	144049	145626	1	fatty-acid--CoA ligase FadD7	-	-	-	status 3	annotated	CDS	5	6
Rv0120c	fusA2	147771	145627	-1	elongation factor G	-	-	-	status 3	annotated	CDS	5	6
Rv0121c	-	148342	147908	-2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0122	-	148491	148859	3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0123	-	148856	149224	2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0124	PE_PGRS2	149533	150996	1	PE-PGRS family protein PE_PGRS2	-	-	-	status 3	annotated	CDS	5	6
Rv0125	pepA	151148	152215	2	serine protease PepA	-	-	-	status 3	annotated	CDS	5	6
Rv0126	treS	152324	154129	2	trehalose synthase/amylase TreS	-	-	-	status 3	annotated	CDS	5	6
Rv0127	mak	154232	155599	2	maltokinase	-	-	-	status 3	annotated	CDS	5	6
Rv0128	-	155667	156446	3	transmembrane protein	-	-	-	status 3	annotated	CDS	5	6
Rv0129c	fbpC	157600	156578	-2	diacylglycerol acyltransferase/mycolyltransferase Ag85C	-	-	-	status 3	annotated	CDS	5	6
Rv0130	htdZ	157847	158302	2	3-hydroxyl-thioester dehydratase	-	-	-	status 3	annotated	CDS	5	6
Rv0131c	fadE1	159658	158315	-2	acyl-CoA dehydrogenase FadE1	-	-	-	status 3	annotated	CDS	5	6
Rv0132c	fgd2	160782	159700	-1	F420-dependent glucose-6-phosphate dehydrogenase	-	-	-	status 3	annotated	CDS	5	6
Rv0133	-	160869	161474	3	GCN5-like N-acetyltransferase	-	-	-	status 3	annotated	CDS	5	6
Rv0134	ephF	161771	162673	2	epoxide hydrolase EphF	-	-	-	status 3	annotated	CDS	5	6
Rv0135c	-	163249	162644	-2	transcriptional regulator	-	-	-	status 3	annotated	CDS	5	6
Rv0136	cyp138	163366	164691	1	cytochrome P450 Cyp138	-	-	-	status 3	annotated	CDS	5	6
Rv0137c	msrA	165260	164712	-3	peptide methionine sulfoxide reductase MsrA	-	-	-	status 3	annotated	CDS	5	6
Rv0138	-	165323	165826	2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0139	-	165827	166849	2	oxidoreductase	-	-	-	status 3	annotated	CDS	5	6
Rv0140	-	166910	167290	2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0141c	-	167681	167271	-3	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0142	-	167711	168637	2	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0143c	-	170182	168704	-2	transmembrane protein	-	-	-	status 3	annotated	CDS	5	6
Rv0144	-	170284	171126	1	transcriptional regulator	-	-	-	status 3	annotated	CDS	5	6
Rv0145	-	171215	172168	2	S-adenosylmethionine-dependentmethyltransferase	-	-	-	status 3	annotated	CDS	5	6
Rv0146	-	172211	173143	2	S-adenosylmethionine-dependentmethyltransferase	-	-	-	status 3	annotated	CDS	5	6
Rv0147	-	173238	174758	3	aldehyde dehydrogenase	-	-	-	status 3	annotated	CDS	5	6
Rv0148	-	174833	175693	2	short-chain type dehydrogenase/reductase	-	-	-	status 3	annotated	CDS	5	6
Rv0149	-	175700	176668	2	quinone oxidoreductase	-	-	-	status 3	annotated	CDS	5	6
Rv0150c	-	176952	176665	-1	hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
Rv0151c	PE1	179309	177543	-3	PE family protein PE1	-	-	-	status 3	annotated	CDS	5	6
Rv0152c	PE2	180896	179319	-3	PE family protein PE2	-	-	-	status 3	annotated	CDS	5	6
Rv0153c	ptbB	181985	181155	-3	phosphotyrosine protein phosphatase	-	-	-	status 3	annotated	CDS	5	6
Rv0154c	fadE2	183198	181987	-1	acyl-CoA dehydrogenase FadE2	-	-	-	status 3	annotated	CDS	5	6
Rv0155	pntAa	183622	184722	1	NAD(P) transhydrogenase subunit alpha PntAa	-	-	-	status 3	annotated	CDS	5	6
Rv0156	pntAb	184723	185055	1	NAD(P) transhydrogenase subunit alpha PntAb	-	-	-	status 3	annotated	CDS	5	6
Rv0157	pntB	185052	186479	3	NAD(P) transhydrogenase subunit beta PntB	-	-	-	status 3	annotated	CDS	5	6
