# ID	name	start	stop	frame	product	description	function	cogcats	status_region	status_function	type	region_number	function_number
MAB_0001	dnaA	1	1476	1	Chromosomal replication initiator protein DnaA	-	-	-	status 3	annotated	CDS	5	6
MAB_0002	dnaN	2169	3368	3	DNA polymerase III, beta subunit (DnaN)	-	-	-	status 3	annotated	CDS	5	6
MAB_0003	gnD	3419	4312	2	6-phosphogluconate dehydrogenase Gnd	-	-	-	status 3	annotated	CDS	5	6
MAB_0004	recF	4275	5480	3	DNA replication and repair protein RecF	-	-	-	status 3	annotated	CDS	5	6
MAB_0005	-	5473	6024	1	Conserved hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0006	-	6249	8276	3	DNA gyrase (subunit B) GyrB (DNA topoisomerase)	-	-	-	status 3	annotated	CDS	5	6
MAB_0007	-	8409	9620	3	Hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0008	-	9620	9847	2	Hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0009	-	9849	10436	3	Hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0010c	-	11699	10485	-3	Hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0011c	-	12328	11717	-2	Hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0012c	-	12723	12325	-1	Hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0013c	-	13916	13080	-3	Probable arylamine n-acetyl transferase	-	-	-	status 3	annotated	CDS	5	6
MAB_0014	-	14060	14284	2	Hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0015	-	14301	14588	3	Hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0016	-	14598	16145	3	Conserved hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0017	-	16690	17262	1	Conserved hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0018c	-	18189	17269	-1	Putative methyltransferase	-	-	-	status 3	annotated	CDS	5	6
MAB_0019	-	18389	20908	2	DNA gyrase (subunit A) GyrA (DNA topoisomerase)	-	-	-	status 3	annotated	CDS	5	6
MAB_0020	-	20919	21860	3	Conserved hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0022c	-	23429	22158	-3	Probable permease	-	-	-	status 3	annotated	CDS	5	6
MAB_0023	-	23501	24418	2	Transcriptional regulator, LysR family	-	-	-	status 3	annotated	CDS	5	6
MAB_0024c	-	24843	24439	-1	Conserved hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0025	-	25003	25539	1	Peptidyl-prolyl cis-trans isomerase	-	-	-	status 3	annotated	CDS	5	6
MAB_0026	-	25546	26409	1	Rhomboid family protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0027c	-	27365	26466	-3	Conserved hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0028c	-	27849	27424	-1	Conserved hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0029c	-	28267	28004	-2	Conserved hypothetical membrane protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0030	-	28387	28584	1	Conserved hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0031	-	28599	29315	3	Conserved hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0032	-	29373	30047	3	Glutamine amidotransferase of anthranilate synthase component II (PabA)	-	-	-	status 3	annotated	CDS	5	6
MAB_0033c	-	31940	30054	-3	Probable serine/threonine-protein kinase PknB	-	-	-	status 3	annotated	CDS	5	6
MAB_0034c	-	33202	31940	-2	Putative serine/threonine-protein kinase PknA	-	-	-	status 3	annotated	CDS	5	6
MAB_0035c	-	34713	33199	-1	Probable penicillin-binding protein PbpA	-	-	-	status 3	annotated	CDS	5	6
MAB_0036c	-	36167	34710	-3	Probable cell division protein RodA	-	-	-	status 3	annotated	CDS	5	6
MAB_0037c	-	37669	36164	-2	Possible serine/threonine phosphatase Ppp	-	-	-	status 3	annotated	CDS	5	6
MAB_0038c	-	38193	37666	-1	Possible forkhead-associated protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0039c	-	39657	38299	-1	Conserved hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0042	-	40490	41104	2	Conserved hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0043	-	41104	42270	1	Putative glutathionylspermidine synthase	-	-	-	status 3	annotated	CDS	5	6
MAB_0044	-	42309	42746	3	Conserved hypothetical protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0045	-	42883	43470	1	Hypothetical TetR transcriptional regulator	-	-	-	status 3	annotated	CDS	5	6
MAB_0046	-	43895	44203	2	Probable PE family protein	-	-	-	status 3	annotated	CDS	5	6
MAB_0047	-	44209	45741	1	Probable PPE family protein	-	-	-	status 3	annotated	CDS	5	6
